Total routing cost               Time(s)
              1768                 0.001
              1203                 0.024
              1187                 0.058
              1160                 0.093
              1159                 0.108
              1154                 0.208
              1138                 0.291
              1131                 0.314
              1064                 1.485
              1050                 1.543
              1037                 1.571
              1005                 1.701
               998                 5.098
               998                 8.250 (FITNESS_EVALUATION::HEURISTIC)
               998                 8.251 (FITNESS_EVALUATION::EXACT)

Total runtime:                 8.255 secs
