Total routing cost               Time(s)
              1684                 0.001
              1288                 0.008
              1259                 0.023
              1256                 0.117
              1240                 0.125
              1235                 0.141
              1210                 0.146
              1207                 0.325
              1207                 0.794 (FITNESS_EVALUATION::HEURISTIC)
              1207                 0.794 (FITNESS_EVALUATION::EXACT)

Total runtime:                 0.841 secs
