Total routing cost               Time(s)
              2446                 0.001
              1511                 0.017
              1473                 0.035
              1452                 0.162
              1403                 0.235
              1388                 0.678
              1348                 0.696
              1334                 0.711
              1331                 0.780
              1319                 0.805
              1315                 1.484
              1306                 2.456
              1306                 4.646 (FITNESS_EVALUATION::HEURISTIC)
              1306                 4.647 (FITNESS_EVALUATION::EXACT)

Total runtime:                 4.650 secs
