Total routing cost               Time(s)
              1967                 0.001
              1187                 0.036
              1078                 0.208
               967                 0.290
               962                 0.412
               961                 2.725
               959                 4.366
               956                 6.361
               956                10.283 (FITNESS_EVALUATION::HEURISTIC)
               956                10.284 (FITNESS_EVALUATION::EXACT)

Total runtime:                10.286 secs
