Total routing cost               Time(s)
              2281                 0.001
              1431                 0.028
              1405                 0.130
              1370                 0.141
              1358                 0.186
              1352                 0.247
              1350                 0.794
              1343                 1.638
              1343                 3.736 (FITNESS_EVALUATION::HEURISTIC)
              1343                 3.737 (FITNESS_EVALUATION::EXACT)

Total runtime:                 3.739 secs
