Total routing cost               Time(s)
              2245                 0.001
              1435                 0.015
              1426                 0.031
              1399                 0.049
              1393                 0.129
              1391                 0.245
              1384                 0.276
              1383                 0.524
              1381                 0.779
              1381                 2.115 (FITNESS_EVALUATION::HEURISTIC)
              1381                 2.116 (FITNESS_EVALUATION::EXACT)

Total runtime:                 2.120 secs
