Total routing cost               Time(s)
              1997                 0.001
              1341                 0.023
              1313                 0.035
              1256                 0.073
              1249                 0.083
              1226                 0.144
              1202                 0.175
              1200                 0.269
              1200                 1.780 (FITNESS_EVALUATION::HEURISTIC)
              1200                 1.780 (FITNESS_EVALUATION::EXACT)

Total runtime:                 1.783 secs
