Total routing cost               Time(s)
              1465                 0.001
              1020                 0.021
              1019                 0.029
              1000                 0.052
               997                 0.073
               995                 0.098
               974                 0.130
               968                 0.155
               958                 0.205
               953                 0.233
               951                 0.412
               950                 1.301
               948                 1.331
               939                 2.141
               929                 2.457
               920                 2.503
               919                 2.727
               919                 3.947 (FITNESS_EVALUATION::HEURISTIC)
               919                 3.948 (FITNESS_EVALUATION::EXACT)

Total runtime:                 3.950 secs
