Total routing cost               Time(s)
              1735                 0.001
              1166                 0.019
              1147                 0.075
              1118                 0.217
              1109                 0.604
              1108                 0.632
              1106                 0.667
              1087                 0.865
              1084                 0.955
              1076                 1.048
              1074                 1.062
              1071                 1.403
              1056                 1.499
              1045                 2.510
              1045                 4.499 (FITNESS_EVALUATION::HEURISTIC)
              1045                 4.500 (FITNESS_EVALUATION::EXACT)

Total runtime:                 4.501 secs
