Total routing cost               Time(s)
              1654                 0.002
              1259                 0.005
              1248                 0.009
              1245                 0.026
              1221                 0.027
              1220                 0.031
              1217                 0.038
              1217                 0.233 (FITNESS_EVALUATION::HEURISTIC)
              1217                 0.233 (FITNESS_EVALUATION::EXACT)

Total runtime:                 0.235 secs
