Total routing cost               Time(s)
              1532                 0.001
              1159                 0.008
              1069                 0.025
               944                 0.067
               933                 0.202
               917                 0.257
               908                 0.547
               906                 1.850
               895                 1.892
               895                 4.478 (FITNESS_EVALUATION::HEURISTIC)
               895                 4.478 (FITNESS_EVALUATION::EXACT)

Total runtime:                 4.480 secs
