Total routing cost               Time(s)
              1992                 0.002
              1207                 0.015
              1185                 0.045
              1182                 0.071
              1177                 0.082
              1171                 0.155
              1153                 0.172
              1150                 0.300
              1141                 0.325
              1125                 0.336
              1121                 0.657
              1121                 1.717 (FITNESS_EVALUATION::HEURISTIC)
              1121                 1.717 (FITNESS_EVALUATION::EXACT)

Total runtime:                 1.720 secs
