Total routing cost               Time(s)
              1937                 0.001
              1413                 0.009
              1411                 0.015
              1400                 0.020
              1364                 0.034
              1362                 0.265
              1360                 0.348
              1357                 0.357
              1349                 0.507
              1345                 0.539
              1342                 0.575
              1342                 1.180 (FITNESS_EVALUATION::HEURISTIC)
              1342                 1.180 (FITNESS_EVALUATION::EXACT)

Total runtime:                 1.184 secs
