Total routing cost               Time(s)
              1613                 0.001
              1165                 0.011
              1106                 0.038
              1097                 0.049
              1084                 0.106
              1038                 0.155
              1036                 0.598
              1036                 2.097 (FITNESS_EVALUATION::HEURISTIC)
              1036                 2.098 (FITNESS_EVALUATION::EXACT)

Total runtime:                 2.100 secs
