Total routing cost               Time(s)
              2127                 0.003
              1481                 0.008
              1467                 0.028
              1421                 0.037
              1417                 0.042
              1415                 0.060
              1409                 0.102
              1398                 0.343
              1383                 0.380
              1383                 0.949 (FITNESS_EVALUATION::HEURISTIC)
              1383                 0.949 (FITNESS_EVALUATION::EXACT)

Total runtime:                 0.951 secs
