Total routing cost               Time(s)
              1602                 0.001
              1158                 0.056
              1123                 0.134
              1102                 0.393
              1100                 0.571
              1099                 2.427
              1087                 2.637
              1083                 3.529
              1082                 3.799
              1082                12.694 (FITNESS_EVALUATION::HEURISTIC)
              1082                12.698 (FITNESS_EVALUATION::EXACT)

Total runtime:                12.702 secs
