Total routing cost               Time(s)
              2037                 0.001
              1359                 0.048
              1338                 0.463
              1334                 0.541
              1333                 0.697
              1330                 0.751
              1318                 0.916
              1301                 0.950
              1288                 0.969
              1243                 1.032
              1242                 1.535
              1235                 1.558
              1223                 1.982
              1209                 2.580
              1198                 2.750
              1198                 6.907 (FITNESS_EVALUATION::HEURISTIC)
              1198                 6.908 (FITNESS_EVALUATION::EXACT)

Total runtime:                 6.909 secs
