Total routing cost               Time(s)
              2007                 0.001
              1331                 0.030
              1198                 0.091
              1197                 0.104
              1192                 0.129
              1157                 0.173
              1154                 0.199
              1152                 0.587
              1146                 0.628
              1144                 1.036
              1127                 1.259
              1126                 2.635
              1126                 7.628 (FITNESS_EVALUATION::HEURISTIC)
              1126                 7.630 (FITNESS_EVALUATION::EXACT)

Total runtime:                 7.633 secs
