Total routing cost               Time(s)
              2107                 0.001
              1421                 0.020
              1420                 0.057
              1399                 0.096
              1369                 0.151
              1368                 0.227
              1362                 0.243
              1362                 1.579 (FITNESS_EVALUATION::HEURISTIC)
              1362                 1.579 (FITNESS_EVALUATION::EXACT)

Total runtime:                 1.581 secs
