Total routing cost               Time(s)
              2170                 0.001
              1453                 0.016
              1451                 0.040
              1387                 0.051
              1379                 0.225
              1360                 0.261
              1329                 0.276
              1323                 0.347
              1306                 0.501
              1273                 1.039
              1267                 1.107
              1266                 1.158
              1263                 1.243
              1262                 1.590
              1261                 2.499
              1240                 2.619
              1240                 4.704 (FITNESS_EVALUATION::HEURISTIC)
              1240                 4.704 (FITNESS_EVALUATION::EXACT)

Total runtime:                 4.707 secs
