Total routing cost               Time(s)
              2205                 0.001
              1509                 0.016
              1474                 0.035
              1414                 0.048
              1402                 0.116
              1393                 0.216
              1377                 0.424
              1367                 0.705
              1367                 2.103 (FITNESS_EVALUATION::HEURISTIC)
              1367                 2.103 (FITNESS_EVALUATION::EXACT)

Total runtime:                 2.106 secs
