Total routing cost               Time(s)
              1780                 0.001
              1184                 0.020
              1162                 0.032
              1145                 0.051
              1135                 0.092
              1132                 0.185
              1126                 0.276
              1118                 0.306
              1110                 0.561
              1109                 0.621
              1102                 1.161
              1100                 1.484
              1090                 1.643
              1075                 1.798
              1063                 1.814
              1057                 1.855
              1053                 1.866
              1053                 3.895 (FITNESS_EVALUATION::HEURISTIC)
              1053                 3.896 (FITNESS_EVALUATION::EXACT)

Total runtime:                 3.899 secs
