Total routing cost               Time(s)
              1714                 0.001
              1270                 0.021
              1249                 0.048
              1230                 0.094
              1187                 0.119
              1185                 0.201
              1144                 0.243
              1119                 0.306
              1110                 1.906
              1014                 1.974
               998                 2.013
               998                 5.514 (FITNESS_EVALUATION::HEURISTIC)
               998                 5.515 (FITNESS_EVALUATION::EXACT)

Total runtime:                 5.518 secs
