Total routing cost               Time(s)
              1820                 0.001
              1249                 0.051
              1211                 0.162
              1172                 0.203
              1147                 0.335
              1135                 0.442
              1134                 0.475
              1122                 0.590
              1116                 0.654
              1112                 0.820
              1111                 1.861
              1110                 6.778
              1096                 7.353
              1096                15.271 (FITNESS_EVALUATION::HEURISTIC)
              1096                15.277 (FITNESS_EVALUATION::EXACT)

Total runtime:                15.283 secs
