Total routing cost               Time(s)
              2291                 0.001
              1513                 0.019
              1495                 0.042
              1419                 0.052
              1405                 0.063
              1366                 0.096
              1362                 0.161
              1362                 1.466 (FITNESS_EVALUATION::HEURISTIC)
              1362                 1.466 (FITNESS_EVALUATION::EXACT)

Total runtime:                 1.468 secs
