Total routing cost               Time(s)
              1805                 0.001
              1401                 0.004
              1383                 0.012
              1377                 0.016
              1305                 0.029
              1297                 0.063
              1295                 0.077
              1280                 0.082
              1261                 0.262
              1261                 0.632 (FITNESS_EVALUATION::HEURISTIC)
              1261                 0.632 (FITNESS_EVALUATION::EXACT)

Total runtime:                 0.638 secs
