Total routing cost               Time(s)
              1329                 0.001
              1025                 0.046
               979                 0.078
               967                 0.108
               947                 0.128
               932                 0.973
               891                 3.237
               871                 3.461
               858                 3.560
               846                 3.657
               827                 3.943
               810                 5.572
               801                 6.808
               801                10.921 (FITNESS_EVALUATION::HEURISTIC)
               801                10.929 (FITNESS_EVALUATION::EXACT)

Total runtime:                10.935 secs
