Total routing cost               Time(s)
              2217                 0.001
              1598                 0.020
              1551                 0.047
              1549                 0.084
              1492                 0.162
              1488                 0.236
              1486                 0.390
              1454                 0.412
              1451                 0.493
              1445                 0.504
              1439                 0.642
              1436                 0.715
              1429                 1.189
              1428                 1.343
              1418                 2.227
              1373                 2.971
              1357                 3.535
              1354                 4.444
              1351                 4.740
              1351                 7.034 (FITNESS_EVALUATION::HEURISTIC)
              1351                 7.035 (FITNESS_EVALUATION::EXACT)

Total runtime:                 7.039 secs
