Total routing cost               Time(s)
              1445                 0.001
              1045                 0.059
              1039                 0.123
              1038                 0.177
              1009                 0.222
               977                 0.286
               968                 0.362
               946                 1.648
               946                 4.483 (FITNESS_EVALUATION::HEURISTIC)
               946                 4.487 (FITNESS_EVALUATION::EXACT)

Total runtime:                 4.489 secs
