Total routing cost               Time(s)
              1584                 0.001
              1040                 0.026
              1027                 0.054
              1023                 0.088
               990                 0.122
               974                 0.186
               967                 0.230
               946                 0.364
               938                 0.410
               928                 0.528
               809                 1.110
               804                 2.347
               804                 6.853 (FITNESS_EVALUATION::HEURISTIC)
               804                 6.859 (FITNESS_EVALUATION::EXACT)

Total runtime:                 6.862 secs
