Total routing cost               Time(s)
              1942                 0.001
              1355                 0.012
              1353                 0.019
              1340                 0.027
              1339                 0.112
              1337                 0.174
              1326                 0.217
              1321                 0.235
              1321                 0.834 (FITNESS_EVALUATION::HEURISTIC)
              1321                 0.834 (FITNESS_EVALUATION::EXACT)

Total runtime:                 0.836 secs
