Total routing cost               Time(s)
              1623                 0.001
              1277                 0.007
              1261                 0.017
              1251                 0.028
              1185                 0.034
              1182                 0.046
              1180                 0.051
              1177                 0.150
              1177                 0.676 (FITNESS_EVALUATION::HEURISTIC)
              1177                 0.676 (FITNESS_EVALUATION::EXACT)

Total runtime:                 0.680 secs
