Total routing cost               Time(s)
              1911                 0.001
              1534                 0.010
              1464                 0.024
              1411                 0.053
              1325                 0.086
              1303                 0.160
              1298                 0.204
              1294                 0.303
              1278                 0.578
              1277                 0.995
              1269                 1.246
              1265                 1.470
              1256                 1.598
              1246                 1.617
              1245                 1.667
              1240                 2.737
              1240                 4.418 (FITNESS_EVALUATION::HEURISTIC)
              1240                 4.418 (FITNESS_EVALUATION::EXACT)

Total runtime:                 4.422 secs
