Total routing cost               Time(s)
              1697                 0.001
              1175                 0.010
              1139                 0.023
              1121                 0.088
              1103                 0.100
              1051                 0.221
              1045                 0.240
              1032                 0.254
               959                 0.290
               951                 0.332
               947                 0.501
               931                 2.039
               931                 4.463 (FITNESS_EVALUATION::HEURISTIC)
               931                 4.464 (FITNESS_EVALUATION::EXACT)

Total runtime:                 4.468 secs
