Total routing cost               Time(s)
              1821                 0.001
              1220                 0.013
              1196                 0.059
              1194                 0.195
              1188                 0.223
              1154                 0.256
              1146                 0.310
              1146                 1.151 (FITNESS_EVALUATION::HEURISTIC)
              1146                 1.151 (FITNESS_EVALUATION::EXACT)

Total runtime:                 1.155 secs
