Total routing cost               Time(s)
              1713                 0.001
              1325                 0.006
              1283                 0.012
              1235                 0.019
              1230                 0.022
              1220                 0.074
              1212                 0.142
              1212                 0.637 (FITNESS_EVALUATION::HEURISTIC)
              1212                 0.638 (FITNESS_EVALUATION::EXACT)

Total runtime:                 0.642 secs
