Total routing cost               Time(s)
              1895                 0.001
              1219                 0.067
              1190                 0.147
              1144                 0.208
              1133                 0.834
              1129                 0.854
              1115                 2.734
              1110                 2.838
              1109                 2.903
              1107                 2.933
              1105                 3.239
              1097                 3.348
              1095                 3.404
              1092                 3.543
              1091                 3.901
              1080                 4.007
              1053                 4.845
              1052                 5.416
              1047                 7.243
              1047                12.550 (FITNESS_EVALUATION::HEURISTIC)
              1047                12.552 (FITNESS_EVALUATION::EXACT)

Total runtime:                12.554 secs
