Total routing cost               Time(s)
              1769                 0.001
              1256                 0.008
              1168                 0.016
              1153                 0.037
              1111                 0.228
              1101                 0.268
              1071                 0.306
              1064                 0.476
              1053                 1.084
              1053                 3.943 (FITNESS_EVALUATION::HEURISTIC)
              1053                 3.943 (FITNESS_EVALUATION::EXACT)

Total runtime:                 3.947 secs
