Total routing cost               Time(s)
              1990                 0.001
              1370                 0.025
              1341                 0.074
              1309                 0.112
              1208                 0.203
              1176                 0.241
              1146                 0.578
              1141                 1.183
              1134                 2.208
              1091                 2.590
              1059                 2.764
              1055                 3.712
              1055                10.241 (FITNESS_EVALUATION::HEURISTIC)
              1055                10.242 (FITNESS_EVALUATION::EXACT)

Total runtime:                10.244 secs
