Total routing cost               Time(s)
              1722                 0.001
              1168                 0.107
              1161                 0.182
              1142                 0.328
              1119                 0.523
              1100                 1.045
              1081                 2.330
              1076                 3.999
              1076                12.424 (FITNESS_EVALUATION::HEURISTIC)
              1076                12.430 (FITNESS_EVALUATION::EXACT)

Total runtime:                12.432 secs
