Total routing cost               Time(s)
              1869                 0.001
              1368                 0.009
              1324                 0.015
              1292                 0.022
              1285                 0.043
              1252                 0.060
              1218                 0.084
              1218                 1.009 (FITNESS_EVALUATION::HEURISTIC)
              1218                 1.010 (FITNESS_EVALUATION::EXACT)

Total runtime:                 1.012 secs
