Total routing cost               Time(s)
              2079                 0.001
              1228                 0.026
              1198                 0.067
              1187                 0.311
              1186                 0.346
              1175                 0.367
              1174                 0.410
              1161                 0.438
              1156                 0.492
              1154                 0.545
              1146                 0.588
              1135                 0.882
              1135                 2.347 (FITNESS_EVALUATION::HEURISTIC)
              1135                 2.347 (FITNESS_EVALUATION::EXACT)

Total runtime:                 2.350 secs
