Total routing cost               Time(s)
              2519                 0.001
              1597                 0.008
              1526                 0.038
              1510                 0.093
              1502                 0.134
              1498                 0.486
              1495                 1.110
              1493                 1.207
              1485                 1.383
              1479                 1.428
              1476                 1.447
              1469                 1.468
              1465                 1.508
              1465                 2.950 (FITNESS_EVALUATION::HEURISTIC)
              1465                 2.950 (FITNESS_EVALUATION::EXACT)

Total runtime:                 2.952 secs
