Total routing cost               Time(s)
              1899                 0.001
              1320                 0.018
              1299                 0.048
              1287                 0.060
              1268                 0.138
              1266                 0.233
              1237                 0.313
              1235                 0.328
              1230                 0.352
              1216                 0.436
              1186                 0.453
              1181                 0.479
              1167                 0.524
              1161                 0.766
              1159                 1.561
              1159                 3.038 (FITNESS_EVALUATION::HEURISTIC)
              1159                 3.038 (FITNESS_EVALUATION::EXACT)

Total runtime:                 3.045 secs
