Total routing cost               Time(s)
              1747                 0.002
              1181                 0.055
              1160                 0.154
              1127                 0.200
              1123                 0.226
              1122                 0.262
              1120                 0.291
              1119                 0.334
              1103                 0.370
              1102                 0.408
              1101                 0.485
              1097                 0.530
              1096                 0.783
              1090                 0.823
              1078                 0.929
              1078                 7.296 (FITNESS_EVALUATION::HEURISTIC)
              1078                 7.297 (FITNESS_EVALUATION::EXACT)

Total runtime:                 7.300 secs
