Total routing cost               Time(s)
              1756                 0.001
              1240                 0.016
              1231                 0.032
              1228                 0.064
              1227                 0.080
              1210                 0.101
              1205                 0.232
              1186                 0.268
              1181                 0.405
              1165                 0.422
              1163                 0.437
              1160                 0.509
              1078                 0.794
              1075                 2.341
              1069                 2.565
              1062                 2.592
              1058                 2.717
              1050                 2.769
              1041                 3.934
              1041                 7.307 (FITNESS_EVALUATION::HEURISTIC)
              1041                 7.308 (FITNESS_EVALUATION::EXACT)

Total runtime:                 7.311 secs
