Total routing cost               Time(s)
              1514                 0.001
              1107                 0.025
              1087                 0.197
              1071                 0.323
              1070                 0.333
              1067                 0.399
              1062                 0.624
              1056                 0.832
              1053                 1.268
              1050                 1.406
              1048                 1.737
              1029                 3.842
              1013                 3.920
               987                 4.026
               984                 4.339
               982                 4.452
               982                 6.482 (FITNESS_EVALUATION::HEURISTIC)
               982                 6.483 (FITNESS_EVALUATION::EXACT)

Total runtime:                 6.486 secs
