Total routing cost               Time(s)
              1431                 0.001
              1053                 0.034
              1030                 0.088
              1007                 0.193
              1001                 1.107
               997                 1.345
               992                 1.447
               989                 2.165
               986                 2.402
               985                 5.130
               984                 5.741
               980                 6.051
               974                 8.297
               960                 8.899
               953                 9.698
               950                14.033
               950                18.703 (FITNESS_EVALUATION::HEURISTIC)
               950                18.707 (FITNESS_EVALUATION::EXACT)

Total runtime:                18.710 secs
