Total routing cost               Time(s)
              1806                 0.001
              1183                 0.009
              1181                 0.013
              1174                 0.027
              1162                 0.072
              1160                 0.124
              1147                 0.158
              1147                 0.624 (FITNESS_EVALUATION::HEURISTIC)
              1147                 0.624 (FITNESS_EVALUATION::EXACT)

Total runtime:                 0.626 secs
