Total routing cost               Time(s)
              1888                 0.001
              1378                 0.019
              1376                 0.034
              1358                 0.078
              1332                 0.101
              1319                 0.130
              1293                 0.145
              1282                 0.175
              1269                 0.268
              1254                 0.345
              1242                 0.355
              1233                 0.616
              1212                 1.032
              1209                 1.113
              1206                 1.748
              1205                 2.805
              1203                 2.876
              1201                 3.103
              1201                 4.775 (FITNESS_EVALUATION::HEURISTIC)
              1201                 4.775 (FITNESS_EVALUATION::EXACT)

Total runtime:                 4.778 secs
