Total routing cost               Time(s)
              1105                 0.055
               886                 0.058
               884                 0.063
               813                 0.071
               811                 0.075
               788                 0.081
               776                 0.096
               776                 0.238 (FITNESS_EVALUATION::HEURISTIC)
               776                 0.238 (FITNESS_EVALUATION::EXACT)

Total runtime:                 0.242 secs
