Total routing cost               Time(s)
              1236                 0.010
               991                 0.012
               935                 0.018
               932                 0.019
               930                 0.030
               873                 0.043
               872                 0.073
               872                 0.230 (FITNESS_EVALUATION::HEURISTIC)
               866                 0.230 (FITNESS_EVALUATION::EXACT)

Total runtime:                 0.232 secs
