Total routing cost               Time(s)
              1949                 0.001
              1407                 0.071
              1403                 0.157
              1390                 0.231
              1353                 0.380
              1337                 0.419
              1296                 0.597
              1286                 0.617
              1283                 0.668
              1271                 0.932
              1216                 1.111
              1204                 1.870
              1198                 2.322
              1150                 3.757
              1133                 4.180
              1117                 4.337
              1103                 4.367
              1103                10.734 (FITNESS_EVALUATION::HEURISTIC)
              1103                10.736 (FITNESS_EVALUATION::EXACT)

Total runtime:                10.740 secs
