Total routing cost               Time(s)
              1396                 0.003
               996                 0.006
               975                 0.009
               964                 0.016
               934                 0.018
               931                 0.020
               904                 0.029
               892                 0.037
               889                 0.040
               873                 0.049
               866                 0.109
               866                 0.244 (FITNESS_EVALUATION::HEURISTIC)
               866                 0.244 (FITNESS_EVALUATION::EXACT)

Total runtime:                 0.247 secs
