Total routing cost               Time(s)
              1390                 0.001
              1031                 0.050
              1022                 0.110
               988                 0.142
               976                 0.244
               973                 0.266
               921                 0.294
               916                 0.953
               916                 3.722 (FITNESS_EVALUATION::HEURISTIC)
               916                 3.725 (FITNESS_EVALUATION::EXACT)

Total runtime:                 3.729 secs
