Total routing cost               Time(s)
              1978                 0.001
              1480                 0.009
              1476                 0.014
              1475                 0.019
              1459                 0.024
              1430                 0.037
              1409                 0.065
              1387                 0.074
              1382                 0.170
              1371                 0.221
              1369                 0.258
              1355                 0.285
              1347                 0.343
              1346                 0.354
              1345                 0.420
              1345                 1.081 (FITNESS_EVALUATION::HEURISTIC)
              1345                 1.081 (FITNESS_EVALUATION::EXACT)

Total runtime:                 1.083 secs
