Total routing cost               Time(s)
              1852                 0.001
              1420                 0.007
              1395                 0.013
              1342                 0.018
              1318                 0.032
              1306                 0.068
              1303                 0.073
              1303                 0.655 (FITNESS_EVALUATION::HEURISTIC)
              1303                 0.655 (FITNESS_EVALUATION::EXACT)

Total runtime:                 0.658 secs
