Total routing cost               Time(s)
              2010                 0.001
              1359                 0.012
              1351                 0.032
              1304                 0.055
              1291                 0.066
              1289                 0.194
              1279                 0.292
              1274                 0.301
              1265                 0.363
              1259                 0.371
              1248                 1.090
              1237                 1.355
              1234                 1.364
              1233                 1.564
              1215                 1.614
              1197                 1.654
              1161                 1.738
              1161                 3.193 (FITNESS_EVALUATION::HEURISTIC)
              1161                 3.193 (FITNESS_EVALUATION::EXACT)

Total runtime:                 3.195 secs
