Total routing cost               Time(s)
              1948                 0.001
              1354                 0.004
              1351                 0.020
              1345                 0.036
              1341                 0.039
              1292                 0.056
              1286                 0.155
              1273                 0.249
              1273                 0.608 (FITNESS_EVALUATION::HEURISTIC)
              1273                 0.608 (FITNESS_EVALUATION::EXACT)

Total runtime:                 0.611 secs
