Total routing cost               Time(s)
              1836                 0.001
              1242                 0.048
              1231                 0.083
              1209                 0.105
              1204                 0.130
              1201                 0.323
              1198                 0.708
              1196                 0.877
              1195                 1.497
              1110                 5.503
              1099                 5.569
              1078                 6.348
              1073                 6.403
              1072                 6.498
              1060                 8.660
              1060                14.728 (FITNESS_EVALUATION::HEURISTIC)
              1060                14.729 (FITNESS_EVALUATION::EXACT)

Total runtime:                14.735 secs
