Total routing cost               Time(s)
              2034                 0.001
              1315                 0.008
              1264                 0.019
              1216                 0.028
              1185                 0.034
              1182                 0.083
              1180                 0.289
              1177                 0.351
              1177                 0.846 (FITNESS_EVALUATION::HEURISTIC)
              1177                 0.846 (FITNESS_EVALUATION::EXACT)

Total runtime:                 0.848 secs
