Total routing cost               Time(s)
              2054                 0.008
              1552                 0.016
              1387                 0.028
              1363                 0.033
              1351                 0.092
              1348                 0.119
              1341                 0.527
              1341                 1.169 (FITNESS_EVALUATION::HEURISTIC)
              1341                 1.169 (FITNESS_EVALUATION::EXACT)

Total runtime:                 1.171 secs
