Total routing cost               Time(s)
              1781                 0.001
              1200                 0.012
              1193                 0.031
              1164                 0.063
              1099                 0.154
              1093                 0.445
              1092                 0.543
              1083                 0.638
              1077                 0.737
              1071                 0.777
              1068                 1.765
              1066                 2.169
              1055                 2.199
              1047                 2.694
              1047                 4.447 (FITNESS_EVALUATION::HEURISTIC)
              1047                 4.448 (FITNESS_EVALUATION::EXACT)

Total runtime:                 4.452 secs
