Total routing cost               Time(s)
              2544                 0.001
              1578                 0.020
              1528                 0.047
              1484                 0.062
              1444                 0.168
              1416                 0.248
              1401                 0.264
              1399                 1.050
              1398                 1.478
              1390                 2.708
              1367                 3.226
              1359                 3.238
              1333                 3.247
              1329                 3.377
              1310                 3.514
              1306                 4.245
              1306                 7.161 (FITNESS_EVALUATION::HEURISTIC)
              1306                 7.161 (FITNESS_EVALUATION::EXACT)

Total runtime:                 7.163 secs
